"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,116,12042,11926,1997,79
"AB044824",0,116,12042,11926,2000,79
"AB085828",0,427,12042,11615,2003,2
"AB128149",0,116,12042,11926,2003,79
"AB362483",0,118,12042,11924,2009,61
"AB517659",0,119,12042,11923,2012,103
"AB517660",0,117,12042,11925,2012,61
"AB645847",0,119,12042,11923,2012,3
"AB839169",0,2027,12042,10015,2013,2
"AB839170",0,408,12042,11634,2013,2
"DQ099524",0,331,12042,11711,2005,2
"DQ099525",0,319,12042,11723,2005,63
"DQ875050",0,173,12042,11869,2006,105
"DQ875051",0,179,12042,11863,2006,79
"EF542830",0,110,12042,11932,2008,50
"EU293115",0,119,12042,11923,1991,92
"FJ577895",0,118,12042,11924,2009,2
"GQ412744",0,117,12042,11925,1931,79
"GQ918139",0,115,12042,11927,2010,105
"GU565703",0,117,12042,11925,1948,2
"GU565704",0,117,12042,11925,1948,2
"HM535790",0,115,12042,11927,2010,105
"HQ450386",0,118,12042,11924,2011,64
"HQ891318",0,115,12042,11927,2011,105
"JN234411",0,117,12042,11925,1931,79
"JQ685894",0,119,12042,11923,1994,1
"JQ685899",0,112,12042,11930,2009,2
"JQ685943",0,117,12042,11925,2009,2
"JQ685944",0,117,12042,11925,1984,3
"JQ685967",0,119,12042,11923,2012,3
"JQ685970",0,119,12042,11923,1974,1
"JQ944704",0,119,12042,11923,2009,57
"JQ944705",0,119,12042,11923,2008,22
"JQ944706",0,119,12042,11923,2008,31
"JQ944708",0,128,12042,11914,2008,20
"JQ944709",0,115,12042,11927,2008,63
"JX473838",0,119,12042,11923,2009,75
"JX473839",0,119,12042,11923,2009,75
"JX473840",0,119,12042,11923,2009,75
"JX473841",0,119,12042,11923,2009,75
"KC252633",0,125,12042,11917,2011,97
"KC595280",0,246,12042,11796,2011,96
"KC595281",0,243,12042,11799,2011,96
"KC595282",1,244,12042,11797,2011,96
"KC595283",0,244,12042,11798,2011,96
"KC737850",0,117,12042,11925,2011,103
"KF154997",0,119,12042,11923,2013,94
"KF154998",0,118,12042,11924,1950,62
"KF155000",0,119,12042,11923,2010,31
"KF155001",0,116,12042,11926,2009,78
"KF155002",0,119,12042,11923,2010,68
"KM016899",0,119,12042,11923,2014,97
"KM198893",0,110,12042,11932,2014,50
"KM594039",0,161,12042,11881,2009,61
"KP723638",0,116,12042,11926,2014,77
"KP997032",0,169,12042,11873,2014,96
"KR534217",0,119,12042,11923,2008,19
"KR534218",0,119,12042,11923,2008,19
"KR534219",0,119,12042,11923,2007,26
"KR534220",0,119,12042,11923,2008,19
"KR534228",0,128,12042,11914,2010,26
"KR534229",0,193,12042,11849,2010,66
"KR534230",0,157,12042,11885,2010,27
"KR534231",0,158,12042,11884,2010,26
"KR534232",0,119,12042,11923,2011,66
"KR534233",0,119,12042,11923,2011,66
"KR534234",0,119,12042,11923,2011,26
"KR534235",0,119,12042,11923,2011,24
"KR534236",0,119,12042,11923,2011,24
"KR534237",0,119,12042,11923,2011,24
"KR534238",0,175,12042,11867,2011,26
"KR534244",0,128,12042,11914,2011,45
"KR534245",0,119,12042,11923,2011,45
"KR534246",0,119,12042,11923,2011,45
"KR534247",0,119,12042,11923,2011,39
"KR534248",0,119,12042,11923,2011,45
"KR534249",0,125,12042,11917,2011,45
"KR534250",0,119,12042,11923,2011,24
"KR534251",0,119,12042,11923,2011,26
"KR534252",0,119,12042,11923,2011,48
"KR534253",0,120,12042,11922,2011,24
"KR534254",0,119,12042,11923,2011,39
"KR534256",0,121,12042,11921,2011,24
"KR906734",0,119,12042,11923,2008,26
"KR906735",0,139,12042,11903,2008,69
"KR906736",0,119,12042,11923,2008,69
"KR906737",1,122,12042,11919,2008,19
"KR906738",0,119,12042,11923,2004,19
"KR906739",0,119,12042,11923,2004,21
"KR906740",5,128,12042,11909,2009,46
"KR906741",0,119,12042,11923,2003,29
"KR906742",0,119,12042,11923,2009,68
"KR906743",2,128,12042,11912,2010,26
"KR906744",0,128,12042,11914,2010,21
"KR906745",0,128,12042,11914,2010,17
"KR906746",0,167,12042,11875,2010,74
"KR906747",0,119,12042,11923,2010,74
"KR906748",0,119,12042,11923,2010,6
"KR906749",0,164,12042,11878,2010,29
"KR906750",0,188,12042,11854,2010,68
"KR906751",0,127,12042,11915,2011,74
"KR906752",0,119,12042,11923,2011,6
"KR906753",0,120,12042,11922,2011,29
"KR906754",0,177,12042,11865,2011,68
"KR906755",0,119,12042,11923,2011,45
